"","chr22"
"1",5
"2",8
"3",10
"4",12
"5",23
"6",31
"7",34
"8",35
"9",43
"10",50
"11",56
"12",60
"13",61
"14",62
"15",63
"16",73
"17",84
"18",86
"19",95
"20",97
"21",101
"22",105
"23",110
"24",112
"25",114
"26",124
"27",127
"28",132
"29",134
"30",135
"31",143
"32",159
"33",168
"34",171
"35",194
"36",198
"37",200
"38",208
"39",210
"40",211
"41",215
"42",216
"43",221
"44",228
"45",232
"46",233
"47",238
"48",239
"49",246
"50",248
"51",249
"52",257
"53",260
"54",263
"55",265
"56",269
"57",272
"58",275
"59",276
"60",284
"61",290
"62",291
"63",296
"64",301
"65",302
"66",303
"67",304
"68",305
"69",307
"70",315
"71",320
"72",324
"73",327
"74",332
"75",342
"76",345
"77",352
"78",370
"79",372
"80",373
"81",378
"82",381
"83",388
"84",391
"85",406
"86",408
"87",413
"88",415
"89",422
"90",426
"91",433
"92",437
"93",439
"94",444
"95",446
"96",447
"97",448
"98",462
"99",463
"100",466
"101",470
"102",473
"103",474
"104",477
"105",481
"106",498
"107",502
"108",505
"109",515
"110",516
"111",522
"112",523
"113",525
"114",532
"115",538
"116",540
"117",554
"118",566
"119",568
"120",571
"121",578
"122",582
"123",585
"124",588
"125",589
"126",597
"127",601
"128",612
"129",615
"130",616
"131",619
"132",620
"133",621
"134",624
"135",630
"136",639
"137",641
"138",643
"139",644
"140",646
"141",650
"142",651
"143",652
"144",653
"145",657
"146",665
"147",672
"148",679
"149",683
"150",690
"151",696
"152",699
"153",702
"154",706
"155",707
"156",708
"157",709
"158",710
"159",715
"160",717
"161",720
"162",723
"163",727
"164",738
"165",743
"166",747
"167",752
"168",759
"169",762
"170",764
"171",769
"172",770
"173",773
"174",787
"175",789
"176",792
"177",796
"178",799
"179",800
"180",807
"181",809
"182",811
"183",820
"184",821
"185",823
"186",829
"187",832
"188",836
"189",841
"190",842
"191",847
"192",849
"193",851
"194",853
"195",857
"196",873
"197",884
"198",913
"199",914
"200",918
"201",919
"202",931
"203",934
"204",944
"205",947
"206",955
"207",957
"208",960
"209",962
"210",965
"211",975
"212",976
"213",981
"214",1016
"215",1019
"216",1023
"217",1036
"218",1038
"219",1048
"220",1052
"221",1062
"222",1066
"223",1067
"224",1070
"225",1077
"226",1091
"227",1097
"228",1102
"229",1103
"230",1104
"231",1140
"232",1142
"233",1146
"234",1153
"235",1157
"236",1162
"237",1165
"238",1178
"239",1180
"240",1183
"241",1188
"242",1193
"243",1194
"244",1196
"245",1202
"246",1205
"247",1213
"248",1217
"249",1221
"250",1227
"251",1231
"252",1232
"253",1235
"254",1239
"255",1240
"256",1243
"257",1245
"258",1249
"259",1256
"260",1277
"261",1278
"262",1282
"263",1284
"264",1285
"265",1297
"266",1298
"267",1306
"268",1307
"269",1309
"270",1315
"271",1316
"272",1317
"273",1320
"274",1321
"275",1327
"276",1332
"277",1340
"278",1342
"279",1344
"280",1346
"281",1354
"282",1356
"283",1357
"284",1358
"285",1366
"286",1373
"287",1379
"288",1388
"289",1394
"290",1396
"291",1398
"292",1407
"293",1412
"294",1413
"295",1415
"296",1417
"297",1418
"298",1420
"299",1425
"300",1430
"301",1432
"302",1437
"303",1442
"304",1446
"305",1451
"306",1454
"307",1456
"308",1457
"309",1462
"310",1470
"311",1471
"312",1480
"313",1482
"314",1484
"315",1485
"316",1488
"317",1489
"318",1491
"319",1506
"320",1515
"321",1522
"322",1523
"323",1546
"324",1553
"325",1556
"326",1559
"327",1572
"328",1602
"329",1614
"330",1617
"331",1622
"332",1624
"333",1626
"334",1627
"335",1634
"336",1639
"337",1642
"338",1650
"339",1651
"340",1656
"341",1677
"342",1680
"343",1688
"344",1694
"345",1702
"346",1707
"347",1713
"348",1717
"349",1719
"350",1744
"351",1745
"352",1750
"353",1752
"354",1762
"355",1763
"356",1774
"357",1780
"358",1782
"359",1784
"360",1803
"361",1807
"362",1813
"363",1823
"364",1826
"365",1846
"366",1860
"367",1868
"368",1871
"369",1881
"370",1886
"371",1899
"372",1907
"373",1922
"374",1928
"375",1929
"376",1932
"377",1935
"378",1942
"379",1955
"380",1965
"381",1970
"382",1973
"383",1977
"384",1979
"385",1982
"386",1985
"387",2001
"388",2004
"389",2006
"390",2007
"391",2019
"392",2024
"393",2030
"394",2057
"395",2063
"396",2067
"397",2078
"398",2095
"399",2099
"400",2106
"401",2110
"402",2119
"403",2134
"404",2135
"405",2136
"406",2162
"407",2167
"408",2169
"409",2170
"410",2176
"411",2177
"412",2202
"413",2206
"414",2208
"415",2212
"416",2233
"417",2236
"418",2239
"419",2243
"420",2256
"421",2259
"422",2261
"423",2278
"424",2279
"425",2287
"426",2297
"427",2298
"428",2307
"429",2308
"430",2314
"431",2315
"432",2318
"433",2322
"434",2349
"435",2361
"436",2369
"437",2374
"438",2377
"439",2383
"440",2385
"441",2394
"442",2396
"443",2397
"444",2402
"445",2407
"446",2416
"447",2417
"448",2422
"449",2444
"450",2455
"451",2468
"452",2477
"453",2483
"454",2486
"455",2489
"456",2490
"457",2491
"458",2502
"459",2503
"460",2504
"461",2512
"462",2518
"463",2522
"464",2529
"465",2533
"466",2547
"467",2548
"468",2553
"469",2556
"470",2560
"471",2563
"472",2564
"473",2566
"474",2576
"475",2578
"476",2587
"477",2594
"478",2605
"479",2606
"480",2613
"481",2616
"482",2621
"483",2622
"484",2627
"485",2628
"486",2643
"487",2650
"488",2654
"489",2659
"490",2669
"491",2672
"492",2679
"493",2681
"494",2691
"495",2692
"496",2697
"497",2698
"498",2701
"499",2707
"500",2708
"501",2713
"502",2718
"503",2722
"504",2731
"505",2735
"506",2740
"507",2751
"508",2755
"509",2759
"510",2760
"511",2773
"512",2778
"513",2784
"514",2785
"515",2800
"516",2803
"517",2811
"518",2812
"519",2813
"520",2815
"521",2823
"522",2827
"523",2832
"524",2834
"525",2838
"526",2842
"527",2843
"528",2844
"529",2853
"530",2854
"531",2857
"532",2868
"533",2869
"534",2871
"535",2878
"536",2880
"537",2882
"538",2887
"539",2892
"540",2914
"541",2917
"542",2922
"543",2925
"544",2932
"545",2933
"546",2934
"547",2938
"548",2939
"549",2950
"550",2960
"551",2961
"552",2968
"553",2972
"554",2973
"555",2974
"556",2978
"557",2980
"558",2985
"559",2989
"560",2991
"561",3001
"562",3008
"563",3011
"564",3015
"565",3027
"566",3032
"567",3036
"568",3041
"569",3045
"570",3046
"571",3048
"572",3050
"573",3051
"574",3059
"575",3061
"576",3065
"577",3066
"578",3068
"579",3078
"580",3084
"581",3085
"582",3089
"583",3090
"584",3092
"585",3093
"586",3103
"587",3104
"588",3107
"589",3110
"590",3114
"591",3115
"592",3130
"593",3135
"594",3140
"595",3143
"596",3144
"597",3145
"598",3175
"599",3176
"600",3177
"601",3178
"602",3184
"603",3199
"604",3200
"605",3205
"606",3210
"607",3211
"608",3221
"609",3227
"610",3230
"611",3233
"612",3234
"613",3236
"614",3238
"615",3241
"616",3247
"617",3249
"618",3250
"619",3258
"620",3259
"621",3264
"622",3268
"623",3275
"624",3277
"625",3279
"626",3281
"627",3285
"628",3290
"629",3292
"630",3294
"631",3299
"632",3304
"633",3318
"634",3319
"635",3321
"636",3328
"637",3331
"638",3339
"639",3348
"640",3360
"641",3363
"642",3368
"643",3370
"644",3373
"645",3376
"646",3378
"647",3381
"648",3391
"649",3402
"650",3405
"651",3406
"652",3412
"653",3415
"654",3416
"655",3417
"656",3421
"657",3426
"658",3427
"659",3432
"660",3433
"661",3435
"662",3438
"663",3448
"664",3452
"665",3454
"666",3473
"667",3476
"668",3479
"669",3483
"670",3485
"671",3495
"672",3496
"673",3505
"674",3508
"675",3513
"676",3518
"677",3520
"678",3530
"679",3537
"680",3538
"681",3541
"682",3545
"683",3552
"684",3553
"685",3554
"686",3569
"687",3573
"688",3576
"689",3582
"690",3583
"691",3584
"692",3586
"693",3587
"694",3588
"695",3593
"696",3598
"697",3599
"698",3600
"699",3602
"700",3604
"701",3607
"702",3609
"703",3611
"704",3612
"705",3618
"706",3621
"707",3627
"708",3632
"709",3641
"710",3642
"711",3643
"712",3654
"713",3657
"714",3664
"715",3665
"716",3666
"717",3668
"718",3669
"719",3675
"720",3677
"721",3681
"722",3682
"723",3687
"724",3691
"725",3693
"726",3695
"727",3697
"728",3701
"729",3702
"730",3704
"731",3728
"732",3733
"733",3737
"734",3739
"735",3754
"736",3764
"737",3766
"738",3778
"739",3780
"740",3783
"741",3788
"742",3789
"743",3799
"744",3802
"745",3804
"746",3814
"747",3817
"748",3822
"749",3824
"750",3827
"751",3828
"752",3829
"753",3832
"754",3838
"755",3842
"756",3843
"757",3846
"758",3851
"759",3855
"760",3856
"761",3859
"762",3860
"763",3865
"764",3866
"765",3869
"766",3870
"767",3873
"768",3875
"769",3881
"770",3884
"771",3891
"772",3895
"773",3896
"774",3898
"775",3899
"776",3902
"777",3903
"778",3904
"779",3907
"780",3908
"781",3909
"782",3913
"783",3921
"784",3923
"785",3926
"786",3928
"787",3930
"788",3942
"789",3943
"790",3946
"791",3947
"792",3948
"793",3949
"794",3951
"795",3952
"796",3954
"797",3957
"798",3962
"799",3977
"800",3986
"801",3989
"802",3990
"803",3991
"804",4004
"805",4007
"806",4012
"807",4013
"808",4015
"809",4016
"810",4018
"811",4033
"812",4036
"813",4039
"814",4045
"815",4056
"816",4057
"817",4059
"818",4061
"819",4065
"820",4093
"821",4094
"822",4095
"823",4098
"824",4102
"825",4105
"826",4107
"827",4108
"828",4109
"829",4110
"830",4115
"831",4122
"832",4132
"833",4133
"834",4143
"835",4144
"836",4147
"837",4151
"838",4152
"839",4158
"840",4161
"841",4162
"842",4174
"843",4175
"844",4181
"845",4185
"846",4192
"847",4197
"848",4200
"849",4201
"850",4207
"851",4208
"852",4221
"853",4225
"854",4229
"855",4233
"856",4234
"857",4246
"858",4248
"859",4250
"860",4263
"861",4266
"862",4279
"863",4281
"864",4292
"865",4293
"866",4294
"867",4298
"868",4310
"869",4312
"870",4319
"871",4329
"872",4332
"873",4346
"874",4351
"875",4354
